"filename", "language", "TypeScript", "CSS", "TypeScript JSX", "XML", "JSON", "comment", "blank", "total"
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\App.tsx", "TypeScript JSX", 0, 0, 6, 0, 0, 0, 3, 9
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\components\common\PrelineScript.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 2, 6, 31
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\components\ui\Button.tsx", "TypeScript JSX", 0, 0, 56, 0, 0, 1, 6, 63
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\components\ui\LanguageSwitcher.tsx", "TypeScript JSX", 0, 0, 47, 0, 0, 1, 6, 54
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\constants\routes.ts", "TypeScript", 12, 0, 0, 0, 0, 1, 1, 14
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\context\AuthContext.tsx", "TypeScript JSX", 0, 0, 65, 0, 0, 0, 8, 73
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\auth\Register\Register.tsx", "TypeScript JSX", 0, 0, 41, 0, 0, 0, 5, 46
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\auth\Register\RegisterForm.tsx", "TypeScript JSX", 0, 0, 252, 0, 0, 1, 7, 260
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\auth\Register\RegisterPage.tsx", "TypeScript JSX", 0, 0, 5, 0, 0, 0, 3, 8
