Date : 2025-05-11 05:28:25
Directory : c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src
Total : 126 files,  15210 codes, 186 comments, 848 blanks, all 16244 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         58 |      9,565 |        100 |        473 |     10,138 |
| TypeScript     |         44 |      3,976 |         86 |        349 |      4,411 |
| JSON           |         22 |      1,636 |          0 |         20 |      1,656 |
| CSS            |          1 |         32 |          0 |          6 |         38 |
| XML            |          1 |          1 |          0 |          0 |          1 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                       |        126 |     15,210 |        186 |        848 |     16,244 |
| . (Files)                                                                                                                                               |          4 |        145 |          5 |         14 |        164 |
| assets                                                                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| components                                                                                                                                              |          3 |        126 |          4 |         18 |        148 |
| components\common                                                                                                                                       |          1 |         23 |          2 |          6 |         31 |
| components\ui                                                                                                                                           |          2 |        103 |          2 |         12 |        117 |
| constants                                                                                                                                               |          1 |         12 |          1 |          1 |         14 |
| context                                                                                                                                                 |          1 |         65 |          0 |          8 |         73 |
| features                                                                                                                                                |         85 |     12,983 |        149 |        740 |     13,872 |
| features\auth                                                                                                                                           |         21 |      1,483 |         32 |        125 |      1,640 |
| features\auth\Register                                                                                                                                  |         12 |      1,005 |          5 |         61 |      1,071 |
| features\auth\Register (Files)                                                                                                                          |          3 |        298 |          1 |         15 |        314 |
| features\auth\Register\components                                                                                                                       |          4 |        357 |          0 |         23 |        380 |
| features\auth\Register\hooks                                                                                                                            |          1 |        240 |          3 |         19 |        262 |
| features\auth\Register\services                                                                                                                         |          2 |         45 |          1 |          2 |         48 |
| features\auth\Register\types                                                                                                                            |          2 |         65 |          0 |          2 |         67 |
| features\auth\common                                                                                                                                    |          2 |         97 |          5 |          9 |        111 |
| features\auth\login                                                                                                                                     |          6 |        349 |         20 |         48 |        417 |
| features\auth\login (Files)                                                                                                                             |          3 |        184 |          1 |         21 |        206 |
| features\auth\login\hooks                                                                                                                               |          1 |         96 |          2 |         18 |        116 |
| features\auth\login\services                                                                                                                            |          1 |         43 |         17 |          5 |         65 |
| features\auth\login\types                                                                                                                               |          1 |         26 |          0 |          4 |         30 |
| features\auth\services                                                                                                                                  |          1 |         32 |          2 |          7 |         41 |
| features\dashboard                                                                                                                                      |         64 |     11,500 |        117 |        615 |     12,232 |
| features\dashboard\common                                                                                                                               |          2 |        300 |         12 |         17 |        329 |
| features\dashboard\home                                                                                                                                 |          5 |        545 |          7 |         35 |        587 |
| features\dashboard\home (Files)                                                                                                                         |          1 |        117 |          3 |          7 |        127 |
| features\dashboard\home\components                                                                                                                      |          3 |        365 |          4 |         23 |        392 |
| features\dashboard\home\services                                                                                                                        |          1 |         63 |          0 |          5 |         68 |
| features\dashboard\notifications                                                                                                                        |          8 |      1,764 |         31 |         82 |      1,877 |
| features\dashboard\notifications (Files)                                                                                                                |          1 |         17 |          0 |          3 |         20 |
| features\dashboard\notifications\components                                                                                                             |          4 |      1,180 |         14 |         33 |      1,227 |
| features\dashboard\notifications\hooks                                                                                                                  |          1 |        187 |          5 |         12 |        204 |
| features\dashboard\notifications\services                                                                                                               |          1 |        342 |         12 |         32 |        386 |
